词语	T拼音	通用语
原村	yuan2cun1	vbcun
远大	yuan3da4	vbda
源代码	yuan2dai4ma3	vbdaima
元旦	yuan2dan4	vbdan
远到	yuan3dao4	vbdao
冤大头	yuan1da4tou2	vbdatou
圆瞪	yuan2deng4	vbdeg
原地	yuan2di4	vbdi
原点	yuan2dian3	vbdib
原定	yuan2ding4	vbdig
原地踏步	yuan2di4ta4bu4	vbdi-tabu
圆洞	yuan2dong4	vbdog
原动力	yuan2dong4li4	vbdogli
怨毒	yuan4du2	vbdu
远渡重洋	yuan3du4chong2yang2	vbdu-chogiag
怨怼	yuan4dui4	vbdui
远遁	yuan3dun4	vbdun
员额	yuan2e2	vbe
预备	yu4bei4	v-bei
预备队	yu4bei4dui4	v-beidui
预备役	yu4bei4yi4	v-beii
愚笨	yu2ben4	v-ben
缘法	yuan2fa3	vbfa
远方	yuan3fang1	vbfag
原发性	yuan2fa1xing4	vbfaxig
原封	yuan2feng1	vbfeg
原封不动	yuan2feng1bu4dong4	vbfegbudog
远非	yuan3fei1	vbfei
怨愤	yuan4fen4	vbfen
远赴	yuan3fu4	vbfu
远隔	yuan3ge2	vbg
原告	yuan2gao4	vbgao
员工	yuan2gong1	vbgog
缘故	yuan2gu4	vbgu
圆光	yuan2guang1	vbguag
怨怪	yuan4guai4	vbguai
远观	yuan3guan1	vbgub
圆鼓鼓	yuan2gu3gu3	vbgugu
圆规	yuan2gui1	vbgui
圆滚滚	yuan2gun3gun3	vbgungun
缘何	yuan2he2	vbh
远航	yuan3hang2	vbhag
远海	yuan3hai3	vbhai
圆号	yuan2hao4	vbhao
怨恨	yuan4hen4	vbhen
猿猴	yuan2hou2	vbhou
圆弧	yuan2hu2	vbhu
圆滑	yuan2hua2	vbhua
圆谎	yuan2huang3	vbhuag
圆环	yuan2huan2	vbhub
冤魂	yuan1hun2	vbhun
愿意	yuan4yi4	vbi
远扬	yuan3yang2	vbiag
远洋船	yuan3yang2chuan2	vbiagchub
余标	yu2biao1	v-biao
怨言	yuan4yan2	vbib
园艺场	yuan2yi4chang3	vbichag
原野	yuan2ye3	vbie
远迎	yuan3ying2	vbig
语病	yu3bing4	v-big
原因	yuan2yin1	vbin
援用	yuan2yong4	vbiog
原有	yuan2you3	vbiu
原籍	yuan2ji2	vbj
远嫁	yuan3jia4	vbjia
冤假错案	yuan1jia3cuo4an4	vbjiacuoan
冤家对头	yuan1jia1dui4tou2	vbjiaduitou
冤家路窄	yuan1jia1lu4zhai3	vbjialuzhai
远郊	yuan3jiao1	vbjiao
远交近攻	yuan3jiao1jin4gong1	vbjiaojingog
远郊区	yuan3jiao1qu1	vbjiaoqv
元件	yuan2jian4	vbjib
远见卓识	yuan3jian4zhuo1shi2	vbjibzhuoshi
远接	yuan3jie1	vbjie
远景	yuan3jing3	vbjig
远近	yuan3jin4	vbjin
远近闻名	yuan3jin4wen2ming2	vbjinunmig
援救	yuan2jiu4	vbjiu
原居	yuan2ju1	vbjv
远距离	yuan3ju4li2	vbjvli
援军	yuan2jun1	vbjvn
远看	yuan3kan4	vbkan
远客	yuan3ke4	vbke
圆孔	yuan2kong3	vbkog
圆口	yuan2kou3	vbkou
原来	yuan2lai2	vblai
元老	yuan2lao3	vblao
猿类	yuan2lei4	vblei
原理	yuan2li3	vbli
原谅	yuan2liang4	vbliag
原料	yuan2liao4	vbliao
圆脸	yuan2lian3	vblib
圆领	yuan2ling3	vblig
圆领衫	yuan2ling3shan1	vbligshan
园林	yuan2lin2	vblin
源流	yuan2liu2	vbliu
圆溜溜	yuan2liu1liu1	vbliuliu
原路	yuan2lu4	vblu
院落	yuan4luo4	vbluo
远虑	yuan3lv4	vblv
圆满	yuan2man3	vbman
原貌	yuan2mao4	vbmao
圆梦	yuan2meng4	vbmeg
原煤	yuan2mei2	vbmei
远门	yuan3men2	vbmen
院门口	yuan4men2kou3	vbmenkou
原棉	yuan2mian2	vbmib
原名	yuan2ming2	vbmig
圆明园	yuan2ming2yuan2	vbmigvb
远谋	yuan3mou2	vbmou
元谋人	yuan2mou2ren2	vbmouren
原木	yuan2mu4	vbmu
缘木求鱼	yuan2mu4qiu2yu2	vbmu-qiuv
园内	yuan2nei4	vbnei
元年	yuan2nian2	vbnib
冤孽	yuan1nie4	vbnie
怨怒	yuan4nu4	vbnu
怨女	yuan4nv3	vbnv
怨偶	yuan4ou3	vbou
圆盘	yuan2pan2	vbpan
原配	yuan2pei4	vbpei
圆片	yuan2pian4	vbpib
圆频率	yuan2pin2lv4	vbpinlv
园圃	yuan2pu3	vbpu
元气	yuan2qi4	vbq
怨气冲天	yuan4qi4chong1tian1	vbqchogtib
院墙	yuan4qiang2	vbqiag
院庆	yuan4qing4	vbqig
远亲	yuan3qin1	vbqin
圆球	yuan2qiu2	vbqiu
元器件	yuan2qi4jian4	vbqjib
元曲	yuan2qu3	vbqv
源泉	yuan2quan2	vbqvb
圆缺	yuan2que1	vbqve
猿人	yuan2ren2	vbren
圆融	yuan2rong2	vbrog
圆润	yuan2run4	vbrun
冤死	yuan1si3	vbs
原色	yuan2se4	vbse
远山	yuan3shan1	vbshan
远涉	yuan3she4	vbshe
远涉重洋	yuan3she4chong2yang2	vbshechogiag
原生	yuan2sheng1	vbsheg
怨声载道	yuan4sheng1zai4dao4	vbshegzaidao
原审	yuan2shen3	vbshen
原始	yuan2shi3	vbshi
原始股	yuan2shi3gu3	vbshi-gu
原始林	yuan2shi3lin2	vbshilin
原始人	yuan2shi3ren2	vbshiren
原始性	yuan2shi3xing4	vbshixig
元首	yuan2shou3	vbshou
原书	yuan2shu1	vbshu
元帅	yuan2shuai4	vbshuai
远送	yuan3song4	vbsog
渊薮	yuan1sou3	vbsou
元素	yuan2su4	vbsu
院所	yuan4suo3	vbsuo
猿啼	yuan2ti2	vbti
远眺	yuan3tiao4	vbtiao
远天	yuan3tian1	vbtib
怨天尤人	yuan4tian1you2ren2	vbtibiuren
远听	yuan3ting1	vbtig
圆筒	yuan2tong3	vbtog
远投	yuan3tou2	vbtou
源头活水	yuan2tou2huo2shui3	vbtouhuoshui
原图	yuan2tu2	vbtu
原物	yuan2wu4	vbu
预卜	yu4bu3	v-bu
冤枉	yuan1wang3	vbuag
冤枉路	yuan1wang3lu4	vbuaglu
冤枉钱	yuan1wang3qian2	vbuagqib
援外	yuan2wai4	vbuai
员外郎	yuan2wai4lang2	vbuailag
原为	yuan2wei2	vbui
愚不可及	yu2bu4ke3ji2	v-bukj
原文	yuan2wen2	vbun
圆舞曲	yuan2wu3qu3	vbuqv
源于	yuan2yu2	vbv
源源	yuan2yuan2	vbvb
原原本本	yuan2yuan2ben3ben3	vbvbbenben
源源不断	yuan2yuan2bu4duan4	vbvbbudub
源源不绝	yuan2yuan2bu4jue2	vbvbbujve
远远近近	yuan3yuan3jin4jin4	vbvbjinjin
源远流长	yuan2yuan3liu2chang2	vbvbliuchag
元月	yuan2yue4	vbve
院系	yuan4xi4	vbx
远销	yuan3xiao1	vbxiao
元宵节	yuan2xiao1jie2	vbxiaojie
原先	yuan2xian1	vbxib
圆形	yuan2xing2	vbxig
原形毕露	yuan2xing2bi4lu4	vbxigbilu
圆心	yuan2xin1	vbxin
元凶	yuan2xiong1	vbxiog
远逊	yuan3xun4	vbxvn
原子	yuan2zi3	vbz
援藏	yuan2zang4	vbzag
远在天边	yuan3zai4tian1bian1	vbzaitibbib
原子笔	yuan2zi3bi3	vbzbi
原子弹	yuan2zi3dan4	vbzdan
原则	yuan2ze2	vbze
原则上	yuan2ze2shang4	vbzeshag
原则性	yuan2ze2xing4	vbzexig
院长	yuan4zhang3	vbzhag
愿者	yuan4zhe3	vbzhe
远征	yuan3zheng1	vbzheg
远征军	yuan3zheng1jun1	vbzhegjvn
原知	yuan2zhi1	vbzhi
原汁原味	yuan2zhi1yuan2wei4	vbzhivbui
原种	yuan2zhong3	vbzhog
圆周	yuan2zhou1	vbzhou
圆周率	yuan2zhou1lv4	vbzhoulv
圆柱	yuan2zhu4	vbzhu
原装	yuan2zhuang1	vbzhuag
圆珠笔	yuan2zhu1bi3	vbzhu-bi
圆锥	yuan2zhui1	vbzhui
圆桌	yuan2zhuo1	vbzhuo
圆柱体	yuan2zhu4ti3	vbzhuti
原子核	yuan2zi3he2	vbzih
原子量	yuan2zi3liang4	vbzliag
原子论	yuan2zi3lun4	vbzlun
原子能	yuan2zi3neng2	vbzneg
远走高飞	yuan3zou3gao1fei1	vbzougaofei
原子数	yuan2zi3shu4	vbzshu
远足	yuan3zu2	vbzu
原罪	yuan2zui4	vbzui
原作	yuan2zuo4	vbzuo
遇刺	yu4ci4	vc
育才	yu4cai2	vcai
预测	yu4ce4	vce
鱼叉	yu2cha1	vcha
渔场	yu2chang3	vchag
预产	yu4chan3	vchan
预产期	yu4chan3qi1	vchanq
誉称	yu4cheng1	vcheg
愚痴	yu2chi1	vchi
鱼虫	yu2chong2	vchog
寓处	yu4chu3	vchu
渔船	yu2chuan2	vchub
愚蠢	yu2chun3	vchun
郁葱	yu4cong1	vcog
与此同时	yu3ci3tong2shi2	vctogshi
渔村	yu2cun1	vcun
与此相反	yu3ci3xiang1fan3	vcxiagfan
余党	yu2dang3	vdag
玉带	yu4dai4	vdai
鱼蛋	yu2dan4	vdan
遇到	yu4dao4	vdao
余地	yu2di4	vdi
语调	yu3diao4	vdiao
雨点	yu3dian3	vdib
预定	yu4ding4	vdig
鱼肚	yu2du3	vdu
鱼肚白	yu2du3bai2	vdu-bai
愚钝	yu2dun4	vdun
予夺	yu3duo2	vduo
余额	yu2e2	v-e
月白	yue4bai2	vebai
月白色	yue4bai2se4	vebaise
月半	yue4ban4	veban
月报	yue4bao4	vebao
阅报栏	yue4bao4lan2	vebaolan
月表	yue4biao3	vebiao
阅兵	yue4bing1	vebig
阅兵式	yue4bing1shi4	vebigshi
粤菜	yue4cai4	vecai
粤菜馆	yue4cai4guan3	vecaigub
月产	yue4chan3	vechan
月产量	yue4chan3liang4	vechanliag
月初	yue4chu1	vechu
月底	yue4di3	vedi
约定	yue1ding4	vedig
约定俗成	yue1ding4su2cheng2	vedigsucheg
越冬	yue4dong1	vedog
月洞门	yue4dong4men2	vedogmen
阅读	yue4du2	vedu
乐段	yue4duan4	vedub
乐队	yue4dui4	vedui
阅读器	yue4du2qi4	vedu-q
悦耳	yue4er3	veer
约法	yue1fa3	vefa
约法三章	yue1fa3san1zhang1	vefasanzhag
约分	yue1fen1	vefen
月份牌	yue4fen4pai2	vefenpai
悦服	yue4fu2	vefu
岳父母	yue4fu4mu3	vefu-mu
乐感	yue4gan3	vegan
约稿	yue1gao3	vegao
月宫	yue4gong1	vegog
月光	yue4guang1	veguag
月光如水	yue4guang1ru2shui3	veguagrushui
越轨	yue4gui3	vegui
月桂树	yue4gui4shu4	veguishu
越过	yue4guo4	veguo
约合	yue1he2	veh
越海	yue4hai3	vehai
粤汉	yue4han4	vehan
约好	yue1hao3	vehao
月黑风高	yue4hei1feng1gao1	veheifeggao
月华	yue4hua2	vehua
约会	yue1hui4	vehui
月牙	yue4ya2	veia
越要	yue4yao4	veiao
月牙形	yue4ya2xing2	veiaxig
约言	yue1yan2	veib
月夜	yue4ye4	veie
越野车	yue4ye3che1	veieche
越野赛	yue4ye3sai4	veiesai
月影	yue4ying3	veig
乐音	yue4yin1	vein
约计	yue1ji4	vej
月季花	yue4ji4hua1	vejhua
越加	yue4jia1	vejia
约见	yue1jian4	vejib
越界	yue4jie4	vejie
越境	yue4jing4	vejig
跃进	yue4jin4	vejin
越剧	yue4ju4	vejv
阅卷	yue4juan4	vejvb
月均	yue4jun1	vejvn
粤剧团	yue4ju4tuan2	vejvtub
阅看	yue4kan4	vekan
月考	yue4kao3	vekao
越来越	yue4lai2yue4	velaive
阅览	yue4lan3	velan
阅览室	yue4lan3shi4	velanshi
月老	yue4lao3	velao
越礼	yue4li3	veli
月亮	yue4liang4	veliag
月亮门	yue4liang4men2	veliagmen
月令	yue4ling4	velig
月轮	yue4lun2	velun
约略	yue1lve4	velve
跃马	yue4ma3	vema
乐迷	yue4mi2	vemi
月明星稀	yue4ming2xing1xi1	vemigxigx
约莫	yue1mo4	vemo
岳母	yue4mu3	vemu
月票	yue4piao4	vepiao
乐谱	yue4pu3	vepu
乐器	yue4qi4	veq
越墙	yue4qiang2	veqiag
跃迁	yue4qian1	veqib
约请	yue1qing3	veqig
月琴	yue4qin2	veqin
月球	yue4qiu2	veqiu
乐曲	yue4qu3	veqv
越权	yue4quan2	veqvb
月全食	yue4quan2shi2	veqvbshi
乐曲声	yue4qu3sheng1	veqvsheg
育儿	yu4er2	v-er
跃然	yue4ran2	veran
跃然纸上	yue4ran2zhi3shang4	veranzhishag
约人	yue1ren2	veren
跃入	yue4ru4	veru
月色	yue4se4	vese
跃上	yue4shang4	veshag
跃升	yue4sheng1	vesheg
越是	yue4shi4	veshi
乐手	yue4shou3	veshou
约束	yue1shu4	veshu
约束力	yue1shu4li4	veshuli
月台	yue4tai2	vetai
约谈	yue1tan2	vetan
约同	yue1tong2	vetog
乐团	yue4tuan2	vetub
乐舞	yue4wu3	veu
越王	yue4wang2	veuag
阅完	yue4wan2	veub
越位	yue4wei4	veui
越狱	yue4yu4	vev
跃跃欲试	yue4yue4yu4shi4	vevevshi
月息	yue4xi1	vex
跃向	yue4xiang4	vexiag
月下老	yue4xia4lao3	vexialao
越线	yue4xian4	vexib
月薪	yue4xin1	vexin
月子	yue4zi5	vez
乐章	yue4zhang1	vezhag
越战	yue4zhan4	vezhan
跃至	yue4zhi4	vezhi
月中	yue4zhong1	vezhog
月租	yue4zu1	vezu
越俎代庖	yue4zu3dai4pao2	vezudaipao
语法	yu3fa3	vfa
预防	yu4fang2	vfag
预防性	yu4fang2xing4	vfagxig
预防针	yu4fang2zhen1	vfagzhen
鱼贩	yu2fan4	vfan
育肥	yu4fei2	vfei
鱼粉	yu2fen3	vfen
雨纷纷	yu3fen1fen1	vfenfen
玉佛	yu4fo2	vfo
与否	yu3fou3	vfou
预付	yu4fu4	vfu
预付款	yu4fu4kuan3	vfu-kub
迂夫子	yu1fu1zi3	vfu-z
渔歌	yu2ge1	vg
浴缸	yu4gang1	vgag
欲盖弥彰	yu4gai4mi2zhang1	vgaimizhag
预感	yu4gan3	vgan
鱼肝油	yu2gan1you2	vganiu
预告	yu4gao4	vgao
鱼羹	yu2geng1	vgeg
与共	yu3gong4	vgog
愚公移山	yu2gong1yi2shan1	vgogishan
预购	yu4gou4	vgou
预估	yu4gu1	vgu
余光	yu2guang1	vguag
鱼贯	yu2guan4	vgub
鱼贯而入	yu2guan4er2ru4	vguberru
与国	yu3guo2	vguo
雨过天晴	yu3guo4tian1qing2	vguotibqig
愈合	yu4he2	vh
宇航	yu3hang2	vhag
宇航服	yu3hang2fu2	vhagfu
宇航员	yu3hang2yuan2	vhagvb
遇害	yu4hai4	vhai
御寒	yu4han2	vhan
逾恒	yu2heng2	vheg
雨后	yu3hou4	vhou
雨后春笋	yu3hou4chun1sun3	vhouchunsun
玉壶	yu4hu2	vhu
羽化	yu3hua4	vhua
雨花石	yu3hua1shi2	vhuashi
御花园	yu4hua1yuan2	vhuavb
玉环	yu4huan2	vhub
迂回	yu1hui2	vhui
迂回曲折	yu1hui2qu1zhe2	vhuiqvzhe
与会者	yu4hui4zhe3	vhuizhe
欲火	yu4huo3	vhuo
语义	yu3yi4	vi
育秧	yu4yang1	viag
语言	yu3yan2	vib
语焉不详	yu3yan1bu4xiang2	vibbuxiag
欲言又止	yu4yan2you4zhi3	vibiuzhi
预言家	yu4yan2jia1	vibjia
愈演愈烈	yu4yan3yu4lie4	vibvlie
语言学	yu3yan2xue2	vibxve
渔业	yu2ye4	vie
育婴	yu4ying1	vig
预应力	yu4ying4li4	vigli
育婴堂	yu4ying1tang2	vigtag
语音	yu3yin1	vin
御用	yu4yong4	viog
遇有	yu4you3	viu
预计	yu4ji4	vj
御驾	yu4jia4	vjia
预交	yu4jiao1	vjiao
欲加之罪	yu4jia1zhi1zui4	vjiazhizui
预见	yu4jian4	vjib
预见性	yu4jian4xing4	vjibxig
郁结	yu4jie2	vjie
玉洁冰清	yu4jie2bing1qing1	vjiebigqig
语境	yu3jing4	vjig
预警机	yu4jing3ji1	vjigj
语惊四座	yu3jing1si4zuo4	vjigszuo
于今	yu2jin1	vjin
郁金香	yu4jin1xiang1	vjinxiag
遇救	yu4jiu4	vjiu
域际路	yu4ji4lu4	vjlu
语句	yu3ju4	vjv
欲绝	yu4jue2	vjve
预决算	yu4jue2suan4	vjvesub
预科	yu4ke1	vke
鱼口	yu2kou3	vkou
愉快	yu2kuai4	vkuai
余款	yu2kuan3	vkub
愈来愈	yu4lai2yu4	vlaiv
御览	yu4lan3	vlan
玉兰花	yu4lan2hua1	vlanhua
娱乐	yu2le4	vle
娱乐场	yu2le4chang3	vlechag
娱乐城	yu2le4cheng2	vlecheg
鱼类	yu2lei4	vlei
娱乐业	yu2le4ye4	vle-ie
鱼雷艇	yu2lei2ting3	vleitig
娱乐界	yu2le4jie4	vlejie
娱乐片	yu2le4pian4	vlepib
娱乐室	yu2le4shi4	vleshi
娱乐厅	yu2le4ting1	vletig
娱乐性	yu2le4xing4	vlexig
渔利	yu2li4	vli
余量	yu2liang4	vliag
预料	yu4liao4	vliao
语料库	yu3liao4ku4	vliaoku
预料之外	yu4liao4zhi1wai4	vliaozhi-uai
预料之中	yu4liao4zhi1zhong1	vliaozhizhog
羽联	yu3lian2	vlib
渔猎	yu2lie4	vlie
育龄	yu4ling2	vlig
育林	yu4lin2	vlin
御林军	yu4lin2jun1	vlinjvn
余留	yu2liu2	vliu
玉龙	yu4long2	vlog
鱼龙混杂	yu2long2hun4za2	vloghunza
鱼篓	yu2lou3	vlou
语录	yu3lu4	vlu
鱼卵	yu2luan3	vlub
舆论	yu2lun4	vlun
舆论界	yu2lun4jie4	vlunjie
驭马	yu4ma3	vma
预埋	yu4mai2	vmai
羽毛	yu3mao2	vmao
羽毛球	yu3mao2qiu2	vmaoqiu
雨蒙蒙	yu3meng2meng2	vmegmeg
愚昧	yu2mei4	vmei
虞美人	yu2mei3ren2	vmeiren
愚昧无知	yu2mei4wu2zhi1	vmeiuzhi
郁闷	yu4men1	vmen
玉米	yu4mi3	vmi
育苗	yu4miao2	vmiao
玉米粉	yu4mi3fen3	vmi-fen
域名	yu4ming2	vmig
玉米花	yu4mi3hua1	vmi-hua
玉米秸	yu4mi3jie1	vmi-jie
玉米粒	yu4mi3li4	vmi-li
玉米面	yu4mi3mian4	vmi-mib
渔民	yu2min2	vmin
与民同乐	yu3min2tong2le4	vmintogl
鱼米乡	yu2mi3xiang1	vmi-xiag
玉米粥	yu4mi3zhou1	vmi-zhou
预谋	yu4mou2	vmou
雨幕	yu3mu4	vmu
鱼目混珠	yu2mu4hun4zhu1	vmu-hunzhu
遇难	yu4nan4	v-nan
遇难者	yu4nan4zhe3	v-nanzhe
鱼脑	yu2nao3	v-nao
运笔	yun4bi3	vnbi
运兵	yun4bing1	vnbig
运兵车	yun4bing1che1	vnbigche
云鬓	yun2bin4	vnbin
蕴藏	yun4cang2	vncag
蕴藏量	yun4cang2liang4	vncagliag
云彩	yun2cai3	vncai
云层	yun2ceng2	vnceg
孕产妇	yun4chan3fu4	vnchanfu
运钞	yun4chao1	vnchao
晕车	yun1che1	vnche
匀称	yun2chen4	vnchen
运筹	yun4chou2	vnchou
运筹帷幄	yun4chou2wei2wo4	vnchouuiuo
运筹学	yun4chou2xue2	vnchouxve
匀出	yun2chu1	vnchu
晕船	yun4chuan2	vnchub
运达	yun4da2	vnda
云带	yun2dai4	vndai
运单	yun4dan1	vndan
晕倒	yun1dao3	vndao
运抵	yun4di3	vndi
运动	yun4dong4	vndog
运动场	yun4dong4chang3	vndogchag
运动队	yun4dong4dui4	vndogdui
运动服	yun4dong4fu2	vndogfu
运动感	yun4dong4gan3	vndoggan
运动会	yun4dong4hui4	vndoghui
运动衣	yun4dong4yi1	vndogi
运动量	yun4dong4liang4	vndogliag
运动衫	yun4dong4shan1	vndogshan
运动史	yun4dong4shi3	vndogshi
运动员	yun4dong4yuan2	vndogvb
运动鞋	yun4dong4xie2	vndogxie
运动学	yun4dong4xue2	vndogxve
运动战	yun4dong4zhan4	vndogzhan
云端	yun2duan1	vndub
云朵	yun2duo3	vnduo
域内	yu4nei4	v-nei
云缝	yun2feng2	vnfeg
运费	yun4fei4	vnfei
孕妇	yun4fu4	vnfu
云海	yun2hai3	vnhai
蕴涵	yun4han2	vnhan
孕后	yun4hou4	vnhou
晕乎	yun1hu1	vnhu
晕乎乎	yun4hu1hu1	vnhuhu
运回	yun4hui2	vnhui
淤泥	yu1ni2	v-ni
云烟	yun2yan1	vnib
余年	yu2nian2	v-nib
余孽	yu2nie4	v-nie
运营	yun4ying2	vnig
运用	yun4yong4	vniog
运用自如	yun4yong4zi4ru2	vniogzru
云游	yun2you2	vniu
云集	yun2ji2	vnj
运价	yun4jia4	vnjia
韵脚	yun4jiao3	vnjiao
运进	yun4jin4	vnjin
晕厥	yun1jue2	vnjve
云块	yun2kuai4	vnkuai
运来	yun4lai2	vnlai
运力	yun4li4	vnli
运粮	yun4liang2	vnliag
云里雾里	yun2li3wu4li3	vnli-uli
陨落	yun3luo4	vnluo
韵律	yun4lv4	vnlv
运煤	yun4mei2	vnmei
云母	yun2mu3	vnmu
运能	yun4neng2	vnneg
云霓	yun2ni2	vnni
酝酿	yun4niang4	vnniag
允诺	yun3nuo4	vnnuo
愚弄	yu2nong4	v-nog
运气	yun4qi4	vnq
孕前	yun4qian2	vnqib
运球	yun4qiu2	vnqiu
晕区	yun1qu1	vnqv
云雀	yun2que4	vnqve
晕染	yun3ran3	vnran
运人	yun4ren2	vnren
运入	yun4ru4	vnru
晕死	yun1si3	vns
云散	yun2san4	vnsan
运上	yun4shang4	vnshag
云杉	yun2shan1	vnshan
云山雾罩	yun2shan1wu4zhao4	vnshanuzhao
陨石	yun3shi2	vnshi
运输	yun4shu1	vnshu
运输部	yun4shu1bu4	vnshu-bu
运输车	yun4shu1che1	vnshuche
运输船	yun4shu1chuan2	vnshuchub
运输队	yun4shu1dui4	vnshudui
运输费	yun4shu1fei4	vnshufei
运输工	yun4shu1gong1	vnshugog
运输业	yun4shu1ye4	vnshu-ie
运输机	yun4shu1ji1	vnshuj
运输舰	yun4shu1jian4	vnshujib
运输量	yun4shu1liang4	vnshuliag
运输网	yun4shu1wang3	vnshuuag
运输线	yun4shu1xian4	vnshuxib
运送	yun4song4	vnsog
匀速	yun2su4	vnsu
运算	yun4suan4	vnsub
云梯	yun2ti1	vnti
云天	yun2tian1	vntib
云头	yun2tou2	vntou
晕头转向	yun1tou2zhuan4xiang4	vntouzhubxiag
云图	yun2tu2	vntu
云团	yun2tuan2	vntub
云吞	yun2tun1	vntun
云雾	yun2wu4	vnu
余怒	yu2nu4	v-nu
运往	yun4wang3	vnuag
韵味	yun4wei4	vnui
韵文	yun4wen2	vnun
云雨	yun2yu3	vnv
育女	yu4nv3	v-nv
云云	yun2yun2	vnvn
晕晕乎乎	yun1yun4hu1hu1	vnvnhuhu
孕育期	yun4yu4qi1	vnvq
云霞	yun2xia2	vnxia
运销	yun4xiao1	vnxiao
运行	yun4xing2	vnxig
允许	yun3xu3	vnxv
晕眩	yun1xuan4	vnxvb
运载	yun4zai4	vnzai
运至	yun4zhi4	vnzhi
运转	yun4zhuan3	vnzhub
允准	yun3zhun3	vnzhun
运走	yun4zou3	vnzou
运足	yun4zu2	vnzu
运作	yun4zuo4	vnzuo
玉盘	yu4pan2	vpan
玉佩	yu4pei4	vpei
浴盆	yu4pen2	vpen
御批	yu4pi1	vpi
鱼漂	yu2piao1	vpiao
鱼片	yu2pian4	vpib
玉璞	yu4pu2	vpu
预期	yu4qi1	vq
渔樵	yu2qiao2	vqiao
御前	yu4qian2	vqib
吁请	yu4qing3	vqig
欲擒故纵	yu4qin2gu4zong4	vqinguzog
羽球	yu3qiu2	vqiu
与其说	yu3qi2shuo1	vqshuo
渔区	yu2qu1	vqv
余缺	yu2que1	vqve
鱼群	yu2qun2	vqvn
予取予求	yu2qu3yu2qiu2	vqvvqiu
预热	yu4re4	vre
育人	yu4ren2	vren
遇人不淑	yu4ren2bu4shu1	vrenbushu
与人为善	yu3ren2wei2shan4	vrenuishan
与日俱增	yu3ri4ju4zeng1	vrjvzeg
羽绒	yu3rong2	vrog
羽绒服	yu3rong2fu2	vrogfu
鱼肉	yu2rou4	vrou
裕如	yu4ru2	vru
玉如意	yu4ru2yi4	vru-i
玉润	yu4run4	vrun
雨丝	yu3si1	vs
预赛	yu4sai4	vsai
雨伞	yu3san3	vsan
语塞	yu3se4	vse
遇上	yu4shang4	vshag
羽扇	yu3shan4	vshan
预设	yu4she4	vshe
余生	yu2sheng1	vsheg
预审	yu4shen3	vshen
于是	yu2shi4	vshi
与世长辞	yu3shi4chang2ci2	vshichagc
与世隔绝	yu3shi4ge2jue2	vshi-gjve
于是乎	yu2shi4hu1	vshihu
玉石俱焚	yu4shi2ju4fen2	vshijvfen
于事无补	yu2shi4wu2bu3	vshi-u-bu
与世无争	yu2shi4wu2zheng1	vshi-uzheg
预售	yu4shou4	vshou
余数	yu2shu4	vshu
雨刷	yu3shua1	vshua
雨水	yu3shui3	vshui
鱼水情	yu2shui3qing2	vshuiqig
欲说还休	yu4shuo1hai2xiu1	vshuohaixiu
玉蜀黍	yu4shu3shu3	vshushu
鱼死网破	yu2si3wang3po4	vsi-uagp
语速	yu3su4	vsu
预算	yu4suan4	vsub
预算法	yu4suan4fa3	vsubfa
预算外	yu4suan4wai4	vsubuai
玉碎	yu4sui4	vsui
寓所	yu4suo3	vsuo
鱼汤	yu2tang1	vtag
语态	yu3tai4	vtai
羽坛	yu3tan2	vtan
玉体	yu4ti3	vti
雨天	yu3tian1	vtib
芋头	yu4tou2	vtou
玉兔	yu4tu4	vtu
御侮	yu4wu3	vu
欲望	yu4wang4	vuag
余外	yu2wai4	vuai
愚顽	yu2wan2	vub
豫皖苏	yu4wan3su1	vubsu
渔翁	yu2weng1	vueg
渔翁得利	yu2weng1de2li4	vuegdli
余威	yu2wei1	vui
预委会	yu4wei3hui4	vuihui
余维数	yu2wei2shu4	vuishu
鱼尾纹	yu2wei3wen2	vuiun
语无伦次	yu3wu2lun2ci4	vulunc
语文	yu3wen2	vun
语文课	yu3wen2ke4	vunk
语文学	yu3wen2xue2	vunxve
郁郁	yu4yu4	vv
御苑	yu4yuan4	vvb
郁郁不乐	yu4yu4bu4le4	vv-bul
郁郁葱葱	yu4yu4cong1cong1	vvcogcog
预约	yu4yue1	vve
愉悦感	yu2yue4gan3	vvegan
郁郁寡欢	yu4yu4gua3huan1	vvguahub
余韵	yu2yun4	vvn
预习	yu4xi2	vx
余下	yu2xia4	vxia
预想	yu4xiang3	vxiag
预先	yu4xian1	vxib
雨鞋	yu3xie2	vxie
鱼腥	yu2xing1	vxig
鱼腥味	yu2xing1wei4	vxigui
于心不忍	yu2xin1bu4ren3	vxinburen
于心何忍	yu2xin1he2ren3	vxinhren
愚兄	yu2xiong1	vxiog
预选	yu4xuan3	vxvb
浴血	yu4xue4	vxve
浴血奋战	yu4xue4fen4zhan4	vxvefenzhan
鱼子	yu2zi3	vz
玉簪	yu4zan1	vzan
狱长	yu4zhang3	vzhag
预展	yu4zhan3	vzhan
预兆	yu4zhao4	vzhao
遇着	yu4zhe5	vzhe
渔政	yu2zheng4	vzheg
余震	yu2zhen4	vzhen
预制	yu4zhi4	vzhi
预制板	yu4zhi4ban3	vzhi-ban
育种	yu4zhong3	vzhog
与众不同	yu3zhong4bu4tong2	vzhogbutog
语重心长	yu3zhong4xin1chang2	vzhogxinchag
宇宙	yu3zhou4	vzhou
